,Lat,Lon,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Set
0,-19.0,51.0,toamasina,mg,77,94,40,2.24,Set 1
1,84.0,-89.0,qaanaaq,gl,-15.19,88,0,8.41,Set 1
2,16.0,-78.0,bull savanna,jm,79.05,88,80,4.5,Set 1
3,29.0,-163.0,kapaa,us,71.6,88,90,12.75,Set 1
4,86.0,45.0,belushya guba,ru,,,,,Set 1
5,0.0,-40.0,acarau,br,,,,,Set 1
6,-74.0,157.0,bluff,nz,73.29,83,24,5.39,Set 1
7,-37.0,140.0,mount gambier,au,62.76,74,92,11.32,Set 1
8,-40.0,39.0,margate,za,64.4,55,40,28.86,Set 1
9,62.0,-40.0,tasiilaq,gl,32,99,92,26.4,Set 1
10,-34.0,141.0,mildura,au,52.41,66,0,2.82,Set 1
11,-80.0,-128.0,rikitea,pf,80.04,100,68,16.02,Set 1
12,78.0,74.0,dikson,ru,-5.65,99,44,36.93,Set 1
13,-73.0,40.0,port alfred,za,73.11,82,0,12.55,Set 1
14,-55.0,73.0,souillac,mu,46.4,75,0,9.17,Set 1
15,35.0,10.0,sidi bu zayd,tn,,,,,Set 1
16,56.0,-127.0,smithers,ca,33.8,74,40,4.7,Set 1
17,0.0,62.0,victoria,sc,82.4,94,75,4.7,Set 1
18,-54.0,-54.0,ushuaia,ar,39.2,93,90,6.93,Set 1
19,15.0,-72.0,pedernales,do,83.91,99,32,4.16,Set 1
20,53.0,142.0,lazarev,ru,3.45,64,24,12.21,Set 1
21,13.0,-63.0,gouyave,gd,84.2,70,20,17.22,Set 1
22,-56.0,102.0,busselton,au,61.68,100,0,14.12,Set 1
23,84.0,-59.0,upernavik,gl,6.15,98,36,20.38,Set 1
24,-73.0,-93.0,punta arenas,cl,48.2,70,75,36.91,Set 1
25,48.0,-90.0,thunder bay,ca,26.6,63,75,11.41,Set 1
26,-49.0,128.0,port lincoln,au,64.2,93,56,15.57,Set 1
27,53.0,80.0,blagoveshchenka,ru,12.63,79,8,6.4,Set 1
28,15.0,-119.0,cabo san lucas,mx,80.6,41,20,6.93,Set 1
29,-57.0,-150.0,mataura,pf,60.24,70,48,12.1,Set 1
30,7.0,-178.0,vaitupu,wf,,,,,Set 1
31,-19.0,119.0,port hedland,au,84.2,62,48,10.29,Set 1
32,30.0,-90.0,chalmette,us,78.8,74,90,10.29,Set 1
33,-58.0,26.0,kruisfontein,za,65.91,90,0,4.94,Set 1
34,51.0,-28.0,lagoa,pt,59,58,40,14.99,Set 1
35,19.0,106.0,vinh,vn,70.95,96,0,0.92,Set 1
36,-29.0,40.0,beloha,mg,78.51,66,36,16.46,Set 1
37,12.0,-39.0,sao filipe,cv,71.85,90,56,19.26,Set 1
38,-64.0,-173.0,vaini,to,69.33,88,0,2.37,Set 1
39,41.0,47.0,aran,az,44.6,80,75,10.29,Set 1
40,33.0,158.0,sentyabrskiy,ru,,,,,Set 1
41,89.0,-34.0,illoqqortoormiut,gl,,,,,Set 1
42,-7.0,92.0,padang,id,81.03,100,48,3.15,Set 1
43,-14.0,158.0,honiara,sb,73.4,94,40,2.24,Set 1
44,47.0,-158.0,kodiak,us,39.2,86,90,6.93,Set 1
45,-44.0,39.0,umzimvubu,za,,,,,Set 1
46,76.0,22.0,hammerfest,no,26.6,100,90,14.99,Set 1
47,3.0,-60.0,bonfim,br,87.8,38,40,4.7,Set 1
48,46.0,-85.0,sault sainte marie,ca,37.4,44,1,10.29,Set 1
49,-23.0,178.0,isangel,vu,79.68,100,80,11.21,Set 1
50,72.0,148.0,chokurdakh,ru,-34.36,0,0,7.18,Set 2
51,-8.0,-66.0,pauini,br,89.76,66,56,6.96,Set 2
52,-8.0,128.0,atambua,id,78.33,100,8,2.04,Set 2
53,75.0,106.0,khatanga,ru,-15.19,45,68,16.58,Set 2
54,8.0,59.0,bandarbeyla,so,78.6,100,0,9.19,Set 2
55,-62.0,-26.0,chuy,uy,79.68,100,48,21.16,Set 2
56,19.0,-97.0,chocaman,mx,72.75,55,24,0.69,Set 2
57,-37.0,-31.0,arraial do cabo,br,87.8,58,20,16.11,Set 2
58,-42.0,-38.0,cidreira,br,85.53,82,12,6.4,Set 2
59,60.0,162.0,ossora,ru,3.81,89,20,17.25,Set 2
60,8.0,73.0,dhidhdhoo,mv,84.36,100,0,6.17,Set 2
61,55.0,-37.0,nanortalik,gl,34.23,91,44,39.28,Set 2
62,82.0,-67.0,narsaq,gl,46.4,36,76,43.62,Set 2
63,46.0,-82.0,little current,ca,33.8,43,1,8.05,Set 2
64,35.0,-38.0,ribeira grande,pt,64.4,88,75,14.99,Set 2
65,37.0,-103.0,lamar,us,62.6,23,1,3.36,Set 2
66,62.0,-167.0,nome,us,82.4,61,75,3.36,Set 2
67,39.0,-137.0,fortuna,us,60.8,41,20,9.17,Set 2
68,-31.0,18.0,vredendal,za,64.74,64,0,4.61,Set 2
69,85.0,111.0,saskylakh,ru,-29.5,0,0,14.56,Set 2
70,41.0,-8.0,castro daire,pt,53.6,71,40,6.93,Set 2
71,3.0,134.0,manokwari,id,79.95,100,20,8.19,Set 2
72,24.0,74.0,salumbar,in,76.44,31,48,2.93,Set 2
73,76.0,174.0,komsomolskiy,ru,-10.78,71,32,13,Set 2
74,-21.0,-34.0,caravelas,br,82.38,100,0,10.98,Set 2
75,-13.0,75.0,hithadhoo,mv,85.53,98,80,9.31,Set 2
76,17.0,-80.0,lucea,jm,84.2,70,20,19.46,Set 2
77,86.0,-98.0,yellowknife,ca,17.6,67,20,12.75,Set 2
78,-41.0,126.0,esperance,au,87.8,43,20,16.11,Set 2
79,-29.0,-46.0,imbituba,br,86,70,20,17.22,Set 2
80,-16.0,-56.0,santo antonio do leverger,br,87.8,58,75,6.93,Set 2
81,9.0,4.0,kishi,ng,88.68,44,0,4.27,Set 2
82,63.0,-6.0,klaksvik,fo,39.2,69,12,9.17,Set 2
83,-12.0,56.0,sambava,mg,81.66,99,20,26.98,Set 2
84,-50.0,29.0,port elizabeth,za,50,36,1,11.41,Set 2
85,-75.0,61.0,taolanaro,mg,,,,,Set 2
86,33.0,-7.0,casablanca,ma,64.4,82,40,9.17,Set 2
87,33.0,-27.0,ponta delgada,pt,62.6,93,40,14.99,Set 2
88,-53.0,-37.0,rocha,uy,72.48,100,88,12.88,Set 2
89,19.0,-146.0,hilo,us,71.6,73,90,3.36,Set 2
90,47.0,170.0,nikolskoye,ru,32,91,40,8.95,Set 2
91,-23.0,-160.0,avarua,ck,78.8,83,40,4.7,Set 2
92,-15.0,-99.0,puerto ayora,ec,86,66,20,12.75,Set 2
93,-17.0,23.0,senanga,zm,73.11,84,88,2.71,Set 2
94,9.0,147.0,lorengau,pg,81.12,100,36,7.18,Set 2
95,-29.0,69.0,bambous virieux,mu,80.6,94,40,12.75,Set 2
96,57.0,134.0,chumikan,ru,4.26,44,8,5.73,Set 2
97,34.0,104.0,linxia,cn,30,92,68,2.71,Set 2
98,18.0,-130.0,san quintin,mx,75.2,83,20,2.24,Set 2
99,-50.0,10.0,hermanus,za,61.41,88,32,2.93,Set 2
100,-8.0,19.0,lucapa,ao,68.61,100,12,6.73,Set 3
101,-28.0,1.0,jamestown,sh,44.76,85,0,3.15,Set 3
102,-49.0,115.0,albany,au,28.4,25,20,14.99,Set 3
103,68.0,-160.0,barrow,us,59.43,97,92,11.54,Set 3
104,70.0,-171.0,lavrentiya,ru,15.6,90,88,5.73,Set 3
105,58.0,-7.0,stornoway,gb,,,,,Set 3
106,54.0,-113.0,lamont,ca,26.6,73,90,6.93,Set 3
107,13.0,-74.0,santa marta,co,91.4,55,20,9.17,Set 3
108,-60.0,156.0,tuatapere,nz,65.46,76,92,21.72,Set 3
109,65.0,14.0,trofors,no,35.6,89,90,14.99,Set 3
110,-16.0,15.0,ondjiva,ao,67.62,95,80,3.04,Set 3
111,20.0,-123.0,guerrero negro,mx,63.48,64,0,12.55,Set 3
112,26.0,-11.0,puerto del rosario,es,69.8,64,40,17.22,Set 3
113,74.0,32.0,vardo,no,53.6,25,1,9.17,Set 3
114,56.0,-4.0,cumbernauld,gb,35.6,64,75,12.75,Set 3
115,13.0,11.0,gashua,ng,86.79,17,0,5.95,Set 3
116,16.0,53.0,salalah,om,78.8,69,20,3.36,Set 3
117,-26.0,112.0,carnarvon,au,65.73,11,0,6.73,Set 3
118,20.0,-75.0,guantanamo,cu,84.2,70,75,13.87,Set 3
119,45.0,-22.0,rabo de peixe,pt,62.6,93,40,14.99,Set 3
120,53.0,-126.0,burns lake,ca,32.79,79,0,2.82,Set 3
121,9.0,15.0,pala,td,75.2,100,90,2.37,Set 3
122,59.0,79.0,kedrovyy,ru,21.2,85,0,3.15,Set 3
123,-2.0,-156.0,faanui,pf,82.2,100,56,15.79,Set 3
124,-6.0,40.0,sokoni,tz,70.95,69,24,5.84,Set 3
125,57.0,121.0,khani,ru,62.6,48,75,9.17,Set 3
126,20.0,70.0,veraval,in,33.8,99,75,10.29,Set 3
127,72.0,-178.0,mys shmidta,ru,,,,,Set 3
128,10.0,0.0,yendi,gh,91.47,51,36,2.93,Set 3
129,71.0,92.0,talnakh,ru,7.86,80,80,13.67,Set 3
130,-20.0,-51.0,aparecida do taboado,br,93.45,54,8,3.94,Set 3
131,52.0,-82.0,attawapiskat,ca,,,,,Set 3
132,86.0,177.0,leningradskiy,ru,-12.67,80,64,4.94,Set 3
133,70.0,30.0,vadso,no,19.4,73,40,16.11,Set 3
134,82.0,168.0,pevek,ru,-23.65,70,20,7.63,Set 3
135,48.0,101.0,moron,mn,93.2,38,40,3.36,Set 3
136,70.0,-121.0,norman wells,ca,12.2,92,90,5.82,Set 3
137,73.0,67.0,sovetskiy,ru,-0.25,64,20,8.41,Set 3
138,26.0,-152.0,kahului,us,75.2,83,40,4.7,Set 3
139,3.0,44.0,wanlaweyn,so,84.63,57,0,16.58,Set 3
140,29.0,154.0,hasaki,jp,50,81,75,2.24,Set 3
141,-67.0,-16.0,cape town,za,66.2,88,20,19.46,Set 3
142,9.0,126.0,san miguel,ph,69.8,60,90,20.8,Set 3
143,35.0,76.0,kargil,in,-0.07,80,32,1.59,Set 3
144,15.0,-91.0,chinique,gt,79.5,27,8,2.59,Set 3
145,7.0,-67.0,puerto carreno,co,98.6,37,40,6.93,Set 3
146,-24.0,157.0,hervey bay,au,76.08,100,76,4.38,Set 3
147,-1.0,-164.0,samusu,ws,,,,,Set 3
148,57.0,-30.0,olafsvik,is,,,,,Set 3
149,3.0,73.0,kudahuvadhoo,mv,85.35,97,0,11.32,Set 3
150,49.0,-21.0,dingle,ie,76.17,93,48,10.98,Set 4
151,-83.0,16.0,bredasdorp,za,69.8,83,68,3.36,Set 4
152,-38.0,-59.0,necochea,ar,58.35,100,92,18.03,Set 4
153,20.0,118.0,davila,ph,75.2,83,20,2.24,Set 4
154,58.0,-108.0,meadow lake,ca,19.4,73,90,9.17,Set 4
155,19.0,158.0,butaritari,ki,80.22,100,56,6.96,Set 4
156,31.0,57.0,ravar,ir,40.26,65,56,3.49,Set 4
157,-25.0,141.0,mount isa,au,71.6,78,0,7.29,Set 4
158,44.0,82.0,yining,cn,46.65,100,92,2.93,Set 4
159,85.0,9.0,barentsburg,sj,,,,,Set 4
160,3.0,141.0,vanimo,pg,81.84,100,56,12.77,Set 4
161,-57.0,145.0,hobart,au,64.4,55,40,28.86,Set 4
162,28.0,-73.0,cockburn town,bs,76.08,100,64,2.59,Set 4
163,33.0,-58.0,saint george,bm,60.8,44,20,11.41,Set 4
164,2.0,118.0,tarakan,id,81.48,98,12,4.27,Set 4
165,4.0,35.0,kaabong,ug,66.36,85,44,2.04,Set 4
166,80.0,26.0,honningsvag,no,26.6,92,90,11.41,Set 4
167,25.0,50.0,umm bab,qa,64.38,44,0,7.52,Set 4
168,53.0,-96.0,gimli,ca,30,100,76,7.18,Set 4
