City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,torbay,90,CA,1524967200,100,47.66,-52.73,59.0,19.46
1,broome,92,GB,1524967560,93,52.47,1.45,44.6,6.93
2,tiksi,8,RU,1524969484,92,71.64,128.87,13.58,4.74
3,yeppoon,0,AU,1524967200,39,-23.13,150.74,80.6,12.75
4,vardo,75,US,1524968100,53,39.62,-77.74,57.2,13.87
5,hithadhoo,20,MV,1524969484,100,-0.6,73.08,82.7,15.82
6,lompoc,1,US,1524967080,71,34.64,-120.46,59.0,16.11
7,ushuaia,20,AR,1524967200,65,-54.81,-68.31,41.0,16.49
8,ancud,32,CL,1524969486,76,-41.87,-73.83,43.64,8.66
9,punta arenas,40,CL,1524967200,80,-53.16,-70.91,39.2,20.8
10,cherskiy,48,RU,1524969487,85,68.75,161.3,34.01,1.72
11,qaanaaq,80,GL,1524969487,87,77.48,-69.36,12.95,17.38
12,butaritari,64,KI,1524969487,100,3.07,172.79,83.33,6.98
13,jamestown,0,AU,1524969488,40,-33.21,138.6,69.2,8.88
14,tasiilaq,0,GL,1524966600,80,65.61,-37.64,30.2,4.7
15,fare,44,PF,1524969488,100,-16.7,-151.02,82.61,6.76
16,padang,0,ID,1524969489,100,-0.92,100.36,83.6,5.64
17,bambous virieux,75,MU,1524967200,57,-20.34,57.76,77.0,11.41
18,bredasdorp,88,ZA,1524969490,100,-34.53,20.04,55.97,6.2
19,sao filipe,44,CV,1524969490,99,14.9,-24.5,70.73,16.26
20,lebu,12,ET,1524969491,85,8.96,38.73,43.82,2.62
21,chuy,64,UY,1524969491,98,-33.69,-53.46,69.83,5.97
22,mar del plata,0,AR,1524969491,100,-46.43,-67.52,34.01,7.43
23,mandurah,0,AU,1524967200,36,-32.55,115.7,78.8,21.92
24,de land,1,US,1524966960,42,40.12,-88.65,50.0,10.29
25,rikitea,0,PF,1524969492,100,-23.12,-134.97,78.29,6.76
26,barcelos,75,PT,1524967200,93,41.53,-8.62,48.2,2.24
27,mataura,88,NZ,1524969493,92,-46.19,168.86,51.02,12.91
28,terrace bay,0,CA,1524969493,93,48.78,-87.1,32.57,10.22
29,port elizabeth,75,US,1524967800,63,39.31,-74.98,60.8,9.17
